Wavelength (nm)	B02 abs e
322.25	435.99
322.50	498.95
322.75	418.45
323.00	464.44
323.25	519.07
323.50	294.23
323.75	431.88
324.00	379.66
324.25	393.81
324.50	316.59
324.75	179.25
325.00	328.81
325.25	273.61
325.50	373.47
325.75	366.19
326.00	338.07
326.25	350.14
326.50	192.56
326.75	297.18
327.00	318.17
327.25	202.86
327.50	405.99
327.75	236.21
328.00	270.30
328.25	35.932
328.50	216.45
328.75	234.17
329.00	277.48
329.25	202.34
329.50	119.17
329.75	248.19
330.00	134.66
330.25	200.59
330.50	214.15
330.75	287.82
331.00	157.92
331.25	304.50
331.50	246.33
331.75	265.24
332.00	244.56
332.25	188.47
332.50	35.951
332.75	44.443
333.00	76.745
333.25	143.87
333.50	-32.461
333.75	199.24
334.00	169.34
334.25	78.134
334.50	89.007
334.75	82.618
335.00	212.54
335.25	252.28
335.50	124.17
335.75	92.181
336.00	209.01
336.25	69.582
336.50	164.68
336.75	146.69
337.00	85.237
337.25	199.38
337.50	-3.7314
337.75	100.59
338.00	79.622
338.25	213.41
338.50	44.522
338.75	129.80
339.00	152.88
339.25	243.21
339.50	133.25
339.75	233.71
340.00	79.701
340.25	148.91
340.50	87.161
340.75	197.14
341.00	74.979
341.25	40.911
341.50	-11.609
341.75	218.61
342.00	207.76
342.25	24.284
342.50	186.94
342.75	20.137
343.00	5.1176
343.25	108.55
343.50	-62.124
343.75	-12.561
344.00	196.23
344.25	131.80
344.50	128.69
344.75	-0.31902
345.00	156.98
345.25	171.72
345.50	46.586
345.75	166.98
346.00	162.68
346.25	189.03
346.50	182.93
346.75	152.14
347.00	119.56
347.25	81.923
347.50	95.474
347.75	120.63
348.00	151.74
348.25	115.59
348.50	203.85
348.75	43.292
349.00	174.11
349.25	122.48
349.50	77.399
349.75	181.72
350.00	101.53
350.25	96.923
350.50	308.99
350.75	102.30
351.00	86.387
351.25	115.41
351.50	159.03
351.75	89.542
352.00	0.41484
352.25	226.47
352.50	204.90
352.75	66.069
353.00	190.93
353.25	95.851
353.50	167.74
353.75	147.36
354.00	148.41
354.25	159.28
354.50	158.55
354.75	197.99
355.00	112.14
355.25	66.764
355.50	15.137
355.75	157.85
356.00	198.49
356.25	78.411
356.50	99.105
356.75	229.92
357.00	146.45
357.25	12.081
357.50	123.25
357.75	-7.5417
358.00	87.260
358.25	162.42
358.50	195.32
358.75	195.47
359.00	203.07
359.25	110.08
359.50	136.13
359.75	82.121
360.00	86.446
360.25	94.938
360.50	81.704
360.75	46.149
361.00	126.96
361.25	-8.8911
361.50	106.74
361.75	8.9858
362.00	157.66
362.25	66.148
362.50	112.44
362.75	49.204
363.00	144.01
363.25	133.75
363.50	74.978
363.75	142.10
364.00	180.65
364.25	154.32
364.50	82.458
364.75	42.140
365.00	113.13
365.25	-27.185
365.50	46.783
365.75	6.1682
366.00	60.791
366.25	75.533
366.50	188.49
366.75	116.33
367.00	109.64
367.25	75.870
367.50	25.136
367.75	-0.89531
368.00	149.86
368.25	50.017
368.50	116.25
368.75	66.406
369.00	96.327
369.25	42.021
369.50	94.263
369.75	109.30
370.00	157.68
370.25	4.2633
370.50	106.21
370.75	67.974
371.00	182.42
371.25	62.339
371.50	135.41
371.75	96.585
372.00	102.10
372.25	46.307
372.50	57.180
372.75	-7.5423
373.00	-65.717
373.25	59.144
373.50	50.374
373.75	54.700
374.00	32.239
374.25	21.684
374.50	104.88
374.75	-22.939
375.00	87.338
375.25	69.640
375.50	59.680
375.75	29.779
376.00	183.81
376.25	57.477
376.50	138.59
376.75	144.40
377.00	-6.3322
377.25	109.90
377.50	68.688
377.75	-2.2846
378.00	138.35
378.25	43.568
378.50	97.596
378.75	110.85
379.00	47.021
379.25	59.084
379.50	121.74
379.75	44.818
380.00	126.82
380.25	63.588
380.50	75.949
380.75	11.822
381.00	60.493
381.25	39.818
381.50	114.38
381.75	32.695
382.00	101.31
382.25	83.013
382.50	-3.1380
382.75	166.07
383.00	-50.439
383.25	75.017
383.50	-19.467
383.75	-3.2372
384.00	80.552
384.25	86.366
384.50	66.286
384.75	14.957
385.00	-68.217
