Wavelength (nm)	N13 abs N
599.25	-0.00068518
599.50	0.0012279
599.75	0.0010787
600.00	4.0704e-05
600.25	-0.00062413
600.50	0.0014993
600.75	0.00020352
601.00	-0.00053594
601.25	-0.0014043
601.50	-0.00036634
601.75	0.0011397
602.00	0.00097011
602.25	0.0011329
602.50	0.00034598
602.75	0.00048845
603.00	0.0010922
603.25	-0.00042739
603.50	-0.00023744
603.75	-0.00084122
604.00	0.00056307
604.25	-0.00059699
604.50	0.00048845
604.75	-0.00061734
605.00	0.00045453
605.25	0.00084800
605.50	-0.00015603
605.75	0.00026458
606.00	-0.00014246
606.25	0.0012211
606.50	-0.00016960
606.75	-0.00067840
607.00	-5.4272e-05
607.25	0.00037990
607.50	0.0019199
607.75	-0.00078016
608.00	0.00096333
608.25	0.0033784
608.50	0.0012890
608.75	0.00079373
609.00	-0.00040704
609.25	-0.00065805
609.50	-0.00080051
609.75	0.00060378
610.00	-0.00023744
610.25	0.00059021
610.50	-6.7840e-06
610.75	0.0024762
611.00	-0.00063770
611.25	-0.00063770
611.50	-0.00050880
611.75	0.00090227
612.00	0.00023744
612.25	0.00052237
612.50	-0.0019402
612.75	0.0011058
613.00	0.00035955
613.25	0.0010651
613.50	-0.00012211
613.75	0.0015264
614.00	0.0023201
614.25	0.0014111
614.50	-0.00026458
614.75	-0.00046810
615.00	0.0019606
615.25	-2.0352e-05
615.50	8.8192e-05
615.75	0.00010854
616.00	-0.00065126
616.25	0.00024422
616.50	0.00092941
616.75	0.0019063
617.00	-0.00018317
617.25	0.00041382
617.50	0.00082086
617.75	-0.00016960
618.00	-0.00061056
618.25	0.00054950
618.50	0.0013025
618.75	0.0018792
619.00	0.00069197
619.25	0.00014246
619.50	0.0012211
619.75	-0.00013568
620.00	-0.0016689
620.25	0.0016010
620.50	0.00035277
620.75	0.0016892
621.00	-0.00010854
621.25	-0.00056307
621.50	0.00069875
621.75	-0.00088192
622.00	0.0015671
622.25	0.00075981
622.50	0.00087514
622.75	0.0012550
623.00	0.0022726
623.25	-7.4624e-05
623.50	-0.0015060
623.75	0.0015060
624.00	0.00035955
624.25	0.0011465
624.50	-6.7840e-05
624.75	0.0021166
625.00	0.0016146
625.25	0.0017910
625.50	0.00012211
625.75	-0.00027136
626.00	0.0010040
626.25	0.00019674
626.50	-0.0014721
626.75	0.0017231
627.00	0.0016621
627.25	0.0017435
627.50	0.00082765
627.75	0.0017231
628.00	-0.00031206
628.25	0.00037312
628.50	0.0018792
628.75	0.00027136
629.00	0.0014382
629.25	-0.0011397
629.50	0.00078694
629.75	-0.0011194
630.00	0.0027475
630.25	0.0016553
630.50	0.0011261
630.75	0.0021844
631.00	0.00022387
631.25	0.0016485
631.50	0.0011940
631.75	0.00014246
632.00	0.00063770
632.25	-0.00063091
632.50	0.0024965
632.75	-0.0012957
633.00	0.0015332
633.25	0.00017638
633.50	0.00086835
633.75	-0.00068518
634.00	-0.00013568
634.25	0.0012550
634.50	0.0010176
634.75	0.0019199
635.00	-0.00028493
635.25	0.0011465
635.50	-6.1056e-05
635.75	0.00085478
636.00	0.0014450
636.25	-6.1056e-05
636.50	0.00059699
636.75	0.0014111
637.00	-0.00052915
637.25	0.00047488
637.50	0.0017503
637.75	0.00019674
638.00	0.0016689
638.25	0.0011194
638.50	0.00023744
638.75	-0.00022387
639.00	0.0010447
639.25	-0.00061056
639.50	4.0704e-05
639.75	0.00078016
640.00	0.0014857
640.25	-0.00056307
640.50	0.00092262
640.75	-0.00062413
641.00	0.00096333
641.25	0.0014925
641.50	-0.00029850
641.75	0.00027136
642.00	0.00044096
642.25	0.00059699
642.50	-0.00090906
642.75	0.0017096
643.00	0.00082086
643.25	0.00021030
643.50	0.0016214
643.75	-0.00048166
644.00	0.00054950
644.25	0.00023066
644.50	0.00022387
644.75	0.00031206
645.00	0.00064448
645.25	0.00040704
645.50	0.00090227
645.75	0.0015468
646.00	8.1408e-05
646.25	-0.00028493
646.50	0.00082765
646.75	0.00016960
647.00	0.00034598
647.25	0.0017164
647.50	0.0013975
647.75	0.00098368
648.00	0.00079373
648.25	0.00040704
648.50	-0.00021030
648.75	0.00033920
649.00	0.00037990
649.25	0.00047488
649.50	-0.00024422
649.75	-0.00042739
650.00	0.00056986
650.25	0.0024151
650.50	0.00088192
650.75	0.00072589
651.00	0.00038669
651.25	0.00090906
651.50	0.0014857
651.75	-0.0011533
652.00	0.00014925
652.25	0.0018724
652.50	0.00064448
652.75	0.00067840
653.00	-0.00060378
653.25	0.0021030
653.50	0.0010244
653.75	0.00061734
654.00	-0.0012008
654.25	-7.4624e-05
654.50	0.0013500
654.75	-0.0010108
655.00	0.00012211
655.25	0.00013568
655.50	0.0020759
655.75	0.0011465
656.00	0.0011940
656.25	0.00075981
656.50	-0.00080051
656.75	0.0011804
657.00	-8.1408e-05
657.25	-6.7840e-05
657.50	0.00012890
657.75	6.7840e-06
658.00	0.0024151
658.25	0.00040704
658.50	0.0011261
658.75	0.00094976
659.00	6.7840e-05
659.25	0.0011533
659.50	-0.00056986
659.75	0.00025779
660.00	0.00027136
660.25	0.0019063
660.50	-0.00074624
660.75	0.00048166
661.00	0.00051558
661.25	0.0026593
661.50	0.0019131
661.75	-8.8192e-05
662.00	0.00042739
662.25	0.00070554
662.50	0.0027272
662.75	0.00087514
663.00	-9.4976e-05
663.25	0.00094976
663.50	0.0018995
663.75	0.0011329
664.00	-0.00061056
664.25	-0.00033242
664.50	0.0014179
664.75	-0.00010176
665.00	-0.00056307
665.25	-0.0010854
665.50	0.00069197
665.75	7.4624e-05
666.00	0.0012279
666.25	-0.00076659
666.50	0.0022184
666.75	0.00076659
667.00	0.00069875
667.25	-0.00065126
667.50	0.00035277
667.75	0.0019674
668.00	0.00055629
668.25	0.00075302
668.50	0.0012279
668.75	0.0012618
669.00	0.0020759
669.25	0.00042061
669.50	-0.00033920
669.75	-0.0010108
670.00	0.0014450
670.25	0.0015942
670.50	-0.0013432
670.75	0.00064448
671.00	-0.00014925
671.25	0.0018656
671.50	0.0016824
671.75	-0.00084800
672.00	-0.00094298
672.25	0.0013432
672.50	0.0013839
672.75	-0.0010447
673.00	-0.00031885
673.25	0.0020827
673.50	0.0019538
673.75	0.00027814
674.00	-3.3920e-05
674.25	0.0015060
674.50	0.0011601
674.75	0.00061734
675.00	0.00058342
675.25	-2.0352e-05
675.50	0.0012347
675.75	0.00048166
676.00	0.0014789
676.25	-0.00095654
676.50	0.0010380
676.75	0.0018724
677.00	0.0020420
677.25	0.00085478
677.50	0.0010719
677.75	0.00047488
678.00	-0.00047488
678.25	0.00065126
678.50	0.00082086
678.75	0.0022862
679.00	0.0010380
679.25	0.00056307
679.50	0.00027814
679.75	0.00056986
680.00	0.0015264
680.25	-4.7488e-05
680.50	-4.7488e-05
680.75	-0.00023066
681.00	0.00084800
681.25	0.0016214
681.50	0.00012211
681.75	0.00026458
682.00	-0.00021709
682.25	0.0014382
682.50	-0.00079373
682.75	0.00029850
683.00	-0.00015603
683.25	0.0013975
683.50	0.00090227
683.75	-0.00031885
684.00	0.00067840
684.25	0.00023744
684.50	0.0015264
684.75	-0.00029850
685.00	0.00043418
685.25	0.00071232
685.50	0.00094298
685.75	0.00067840
686.00	0.00047488
686.25	0.0013568
686.50	0.0014993
686.75	0.0021030
687.00	0.0018588
687.25	2.0352e-05
687.50	0.00061734
687.75	0.00058342
688.00	8.8192e-05
688.25	-5.6897e-06
688.50	2.7136e-05
688.75	0.0011194
689.00	-6.1056e-05
689.25	0.0021844
689.50	0.00033242
689.75	0.00038669
690.00	0.0010312
690.25	-6.7840e-06
690.50	0.00048166
690.75	0.00012211
691.00	0.0012686
691.25	0.00075302
691.50	0.00082765
691.75	0.0020420
692.00	0.00024422
692.25	0.0021709
692.50	0.00099046
692.75	0.0013704
693.00	0.0014246
693.25	-0.00027136
693.50	0.00010176
693.75	2.0352e-05
694.00	0.00090227
694.25	0.00051558
694.50	0.0011465
694.75	0.0013975
695.00	0.00060378
695.25	0.0014518
695.50	0.00072589
695.75	0.0025304
696.00	0.00050880
696.25	-8.8192e-05
696.50	0.0010447
696.75	0.0014450
697.00	0.0023405
697.25	0.0019199
697.50	0.00059699
697.75	0.00048845
698.00	0.00095654
698.25	0.00058342
698.50	-0.00042739
698.75	-0.00037312
699.00	0.00046131
699.25	0.0010244
699.50	0.00058342
699.75	0.0015196
700.00	2.7136e-05
