Wavelength (nm)	N13 abs N
308.25	0.056585
308.50	0.055222
308.75	0.054279
309.00	0.053478
309.25	0.052583
309.50	0.051416
309.75	0.051070
310.00	0.054225
310.25	0.048078
310.50	0.048546
310.75	0.050439
311.00	0.051416
311.25	0.046871
311.50	0.047481
311.75	0.049666
312.00	0.047542
312.25	0.040846
312.50	0.048268
312.75	0.044815
313.00	0.044293
313.25	0.042936
313.50	0.045785
313.75	0.044625
314.00	0.041518
314.25	0.043004
314.50	0.040507
314.75	0.038615
315.00	0.037081
315.25	0.038038
315.50	0.036111
315.75	0.035976
316.00	0.038927
316.25	0.036376
316.50	0.037217
316.75	0.037108
317.00	0.036695
317.25	0.034008
317.50	0.037448
317.75	0.033757
318.00	0.036695
318.25	0.036769
318.50	0.034822
318.75	0.035881
319.00	0.037794
319.25	0.035148
319.50	0.032699
319.75	0.038615
320.00	0.038011
320.25	0.030121
320.50	0.037448
320.75	0.035786
321.00	0.036396
321.25	0.032536
321.50	0.033126
321.75	0.034164
322.00	0.040168
322.25	0.034788
322.50	0.035989
322.75	0.033289
323.00	0.033784
323.25	0.039598
323.50	0.038832
323.75	0.037665
324.00	0.036213
324.25	0.037027
324.50	0.039388
324.75	0.039591
325.00	0.039205
325.25	0.043194
325.50	0.041294
325.75	0.038994
326.00	0.037990
326.25	0.036342
326.50	0.041376
326.75	0.041525
327.00	0.043139
327.25	0.042434
327.50	0.042624
327.75	0.043146
328.00	0.042963
328.25	0.044754
328.50	0.044564
328.75	0.047285
329.00	0.042597
329.25	0.046884
329.50	0.048350
329.75	0.046626
330.00	0.047495
330.25	0.049435
330.50	0.052820
330.75	0.051056
331.00	0.051952
331.25	0.052718
331.50	0.047020
331.75	0.051470
332.00	0.052834
332.25	0.055378
332.50	0.052861
332.75	0.049516
333.00	0.055147
333.25	0.051301
333.50	0.054225
333.75	0.057515
334.00	0.054394
334.25	0.056714
334.50	0.053519
334.75	0.054543
335.00	0.054252
335.25	0.051681
335.50	0.055948
335.75	0.054828
336.00	0.055514
336.25	0.054442
336.50	0.056721
336.75	0.054781
337.00	0.060513
337.25	0.058960
337.50	0.059435
337.75	0.060194
338.00	0.058648
338.25	0.061490
338.50	0.061443
338.75	0.060880
339.00	0.062847
339.25	0.064842
339.50	0.064753
339.75	0.063084
340.00	0.065133
340.25	0.069699
340.50	0.070879
340.75	0.072887
341.00	0.070072
341.25	0.073301
341.50	0.073627
341.75	0.074733
342.00	0.073762
342.25	0.077975
342.50	0.077338
342.75	0.079366
343.00	0.083328
343.25	0.083749
343.50	0.083389
343.75	0.085187
344.00	0.087873
344.25	0.087853
344.50	0.089888
344.75	0.091448
345.00	0.096082
345.25	0.093775
345.50	0.092120
345.75	0.094026
346.00	0.095125
346.25	0.096496
346.50	0.099942
346.75	0.096855
347.00	0.097249
347.25	0.097852
347.50	0.097167
347.75	0.097052
348.00	0.096536
348.25	0.098260
348.50	0.097615
348.75	0.097778
349.00	0.096984
349.25	0.098042
349.50	0.099074
349.75	0.094759
350.00	0.095736
350.25	0.090838
350.50	0.091279
350.75	0.087378
351.00	0.091686
351.25	0.088117
351.50	0.087419
351.75	0.082317
352.00	0.083701
352.25	0.081991
352.50	0.078165
352.75	0.079034
353.00	0.075845
353.25	0.072426
353.50	0.071659
