Wavelength (nm)	B02 ems
472.50	0.0020142
473.00	0.0020264
473.50	0.0020421
474.00	0.0019613
474.50	0.0019782
475.00	0.0019868
475.50	0.0018818
476.00	0.0018955
476.50	0.0019044
477.00	0.0018810
477.50	0.0018692
478.00	0.0018048
478.50	0.0018338
479.00	0.0018200
479.50	0.0017478
480.00	0.0017827
480.50	0.0016849
481.00	0.0017486
481.50	0.0017105
482.00	0.0017270
482.50	0.0016918
483.00	0.0017037
483.50	0.0016637
484.00	0.0016820
484.50	0.0016810
485.00	0.0016591
485.50	0.0016252
486.00	0.0016326
486.50	0.0015738
487.00	0.0015830
487.50	0.0015762
488.00	0.0015488
488.50	0.0015598
489.00	0.0015854
489.50	0.0015809
490.00	0.0015188
490.50	0.0015527
491.00	0.0015664
491.50	0.0015098
492.00	0.0015220
492.50	0.0014794
493.00	0.0015542
493.50	0.0014578
494.00	0.0014723
494.50	0.0014696
495.00	0.0014196
495.50	0.0014551
496.00	0.0014743
496.50	0.0014950
497.00	0.0014102
497.50	0.0014484
498.00	0.0014266
498.50	0.0013915
499.00	0.0014313
499.50	0.0014044
500.00	0.0014527
