Wavelength (nm)	abs
650	0.014207034
651	0.014210678
652	0.014214321
653	0.014217964
654	0.014221607
655	0.01422525
656	0.014228893
657	0.014232536
658	0.014236179
659	0.014239822
660	0.014243465
661	0.014247108
662	0.014250751
663	0.014254394
664	0.014258037
665	0.01426168
666	0.014265323
667	0.014268966
668	0.014272609
669	0.014276252
670	0.014279895
671	0.014283538
672	0.014287181
673	0.014290824
674	0.014294467
675	0.01429811
676	0.014301753
677	0.014305396
678	0.014309039
679	0.014312682
680	0.014316325
681	0.014319967
682	0.01432361
683	0.014327253
684	0.014330896
685	0.014334539
686	0.014338182
687	0.014341825
688	0.014345468
689	0.014349111
690	0.014352754
691	0.014356397
692	0.01436004
693	0.014363683
694	0.014367326
695	0.014370969
696	0.014374612
697	0.014378255
698	0.014381898
699	0.014385541
700	0.014389184
701	0.014392827
702	0.01439647
703	0.014400113
704	0.014403756
705	0.014407399
706	0.014411042
707	0.014414685
708	0.014418328
709	0.014421971
710	0.014425614
711	0.014429257
712	0.0144329
713	0.014436543
714	0.014440186
715	0.014482401
716	0.014612906
717	0.014743411
718	0.014873915
719	0.01500442
720	0.015134925
721	0.015265429
722	0.015395934
723	0.015526439
724	0.015656943
725	0.015787448
726	0.015917953
727	0.016048457
728	0.016178962
729	0.016309467
730	0.016439971
731	0.016570476
732	0.016700981
733	0.016831485
734	0.01696199
735	0.017092495
736	0.017222999
737	0.017353504
738	0.017484009
739	0.017614513
740	0.017745018
741	0.017875523
742	0.018006027
743	0.018136532
744	0.018086816
745	0.017910738
746	0.017734661
747	0.017558583
748	0.017382505
749	0.017206428
750	0.01703035
751	0.016854272
752	0.016678195
753	0.016502117
754	0.016326039
755	0.016149961
756	0.015973884
757	0.015797806
758	0.015621728
759	0.015445651
760	0.015269573
761	0.015093495
762	0.014917418
763	0.01474134
764	0.014622336
765	0.014625979
766	0.014629622
767	0.014633265
768	0.014636908
769	0.014640551
770	0.014644194
771	0.014647837
772	0.01465148
773	0.014655122
774	0.014658765
775	0.014662408
776	0.014666051
777	0.014669694
778	0.014673337
779	0.01467698
780	0.014680623
781	0.014684266
782	0.014687909
783	0.014691552
784	0.014695195
785	0.014698838
786	0.014702481
787	0.014706124
788	0.014709767
789	0.01471341
790	0.014717053
791	0.014720696
792	0.014724339
793	0.014727982
794	0.014731625
795	0.014735268
796	0.014738911
797	0.014742554
798	0.014746197
799	0.01474984
800	0.014753483
801	0.014757126
802	0.014760769
803	0.014764412
804	0.014768055
805	0.014771698
806	0.014775341
807	0.014778984
808	0.014782627
809	0.01478627
810	0.014789913
811	0.014793556
812	0.014797199
813	0.014800842
