Wavelength (nm)	N-1, 2321-07-5, Fluorescein, EtOH-base.ems
675.00	0.012019
675.50	0.011698
676.00	0.011410
676.50	0.011580
677.00	0.011298
677.50	0.011464
678.00	0.010769
678.50	0.010877
679.00	0.010432
679.50	0.010420
680.00	0.010161
680.50	0.0098849
681.00	0.0097329
681.50	0.0087779
682.00	0.0092748
682.50	0.0089136
683.00	0.0088644
683.50	0.0086483
684.00	0.0085998
684.50	0.0081017
685.00	0.0077278
685.50	0.0078288
686.00	0.0081184
686.50	0.0074913
687.00	0.0076817
687.50	0.0068728
688.00	0.0070561
688.50	0.0069459
689.00	0.0069979
689.50	0.0067421
690.00	0.0066128
690.50	0.0064617
691.00	0.0069721
691.50	0.0064953
692.00	0.0063481
692.50	0.0058323
693.00	0.0058645
693.50	0.0056714
694.00	0.0056596
694.50	0.0054856
695.00	0.0052947
695.50	0.0053833
696.00	0.0051575
696.50	0.0053039
697.00	0.0051473
697.50	0.0048053
698.00	0.0047022
698.50	0.0048227
699.00	0.0048335
699.50	0.0045144
700.00	0.0045532
