Wavelength (nm)	N-11, 81-88-9, Rhodamine B.ems
696.00	0.019490
696.50	0.019178
697.00	0.018667
697.50	0.018201
698.00	0.018125
698.50	0.017772
699.00	0.017469
699.50	0.017039
700.00	0.017026
700.50	0.016593
701.00	0.016362
701.50	0.016074
702.00	0.015914
702.50	0.015523
703.00	0.015510
703.50	0.015229
704.00	0.014960
704.50	0.014695
705.00	0.014388
705.50	0.014155
706.00	0.013885
706.50	0.013869
707.00	0.013479
707.50	0.013264
708.00	0.012907
708.50	0.012735
709.00	0.012746
709.50	0.012212
710.00	0.011964
710.50	0.011961
711.00	0.011850
711.50	0.011370
712.00	0.011617
712.50	0.011211
713.00	0.010968
713.50	0.010866
714.00	0.010854
714.50	0.010445
715.00	0.010515
715.50	0.010068
716.00	0.010204
716.50	0.0098437
717.00	0.0095883
717.50	0.0094701
718.00	0.0094168
718.50	0.0093438
719.00	0.0092003
719.50	0.0090662
720.00	0.0087049
720.50	0.0086127
721.00	0.0085344
721.50	0.0084993
722.00	0.0083610
722.50	0.0082699
723.00	0.0079784
723.50	0.0081178
724.00	0.0079184
724.50	0.0076552
725.00	0.0075874
725.50	0.0075409
726.00	0.0074132
726.50	0.0073226
727.00	0.0073380
727.50	0.0070974
728.00	0.0071211
728.50	0.0068291
729.00	0.0070419
729.50	0.0068547
730.00	0.0066981
730.50	0.0068808
731.00	0.0065660
731.50	0.0064528
732.00	0.0062820
732.50	0.0061594
733.00	0.0061366
733.50	0.0059890
734.00	0.0060907
734.50	0.0060067
735.00	0.0061208
735.50	0.0057138
736.00	0.0057034
736.50	0.0057905
737.00	0.0056351
737.50	0.0055755
738.00	0.0056146
738.50	0.0054163
739.00	0.0053530
739.50	0.0054703
740.00	0.0051973
740.50	0.0050490
741.00	0.0052120
741.50	0.0051133
742.00	0.0049790
742.50	0.0049825
743.00	0.0049167
743.50	0.0048618
744.00	0.0049495
744.50	0.0047423
745.00	0.0047264
745.50	0.0046272
746.00	0.0046433
746.50	0.0044755
747.00	0.0047739
747.50	0.0044938
748.00	0.0043972
748.50	0.0043274
749.00	0.0044472
749.50	0.0044093
750.00	0.0043419
